Table: address, Column: id, Type: integer, Constraint: Primary Key
Table: class, Column: id, Type: integer, Constraint: Primary Key
Table: address, Column: city, Type: character varying, Constraint: None
Table: class, Column: branch, Type: character varying, Constraint: None
Table: student, Column: name, Type: character varying, Constraint: None
Table: class, Column: course, Type: character varying, Constraint: None
Table: address, Column: mobile_no, Type: character varying, Constraint: None
Table: class, Column: teacher, Type: character varying, Constraint: None
Table: address, Column: house_number, Type: character varying, Constraint: None
Table: student, Column: email_id, Type: character varying, Constraint: None
Table: class, Column: year, Type: integer, Constraint: None
Table: address, Column: state, Type: character varying, Constraint: None
Table: student, Column: collage, Type: character varying, Constraint: None
Table: student, Column: age, Type: integer, Constraint: None
Table: class, Column: student_id, Type: integer, Constraint: Foreign Key -> student.id
Table: address, Column: student_id, Type: integer, Constraint: Foreign Key -> student.id
Table: student, Column: id, Type: integer, Constraint: Primary Key
